datetimeLocal,CO,NO2,O3,PM10,PM2.5,SO2,hour,day,month,day_of_week,crop_burning,winter_inversion,diwali
2021-07-11 12:00:00+05:30,583.2460732984293,8.6,2.2952879581151837,11.0,36.64921465968587,2.508376963350785,12,11,7,6,0,0,0
2021-07-11 13:00:00+05:30,582.7225130890052,8.6,2.317015706806283,11.0,36.54450261780104,2.508638743455497,13,11,7,6,0,0,0
2021-07-11 14:00:00+05:30,582.1989528795812,8.6,2.3387434554973825,11.0,36.43979057591624,2.508900523560209,14,11,7,6,0,0,0
2021-07-11 15:00:00+05:30,581.6753926701571,8.6,2.3604712041884817,11.0,36.33507853403141,2.509162303664921,15,11,7,6,0,0,0
2021-07-11 16:00:00+05:30,581.151832460733,8.6,2.3821989528795813,11.0,36.2303664921466,2.5094240837696336,16,11,7,6,0,0,0
2021-07-11 17:00:00+05:30,580.6282722513089,8.6,2.403926701570681,11.0,36.12565445026178,2.5096858638743456,17,11,7,6,0,0,0
2021-07-11 18:00:00+05:30,580.1047120418848,8.6,2.4256544502617805,11.0,36.02094240837696,2.5099476439790576,18,11,7,6,0,0,0
2021-07-11 19:00:00+05:30,579.5811518324607,8.6,2.44738219895288,11.0,35.916230366492144,2.5102094240837696,19,11,7,6,0,0,0
2021-07-11 20:00:00+05:30,579.0575916230366,8.6,2.4691099476439797,11.0,35.81151832460733,2.5104712041884816,20,11,7,6,0,0,0
2021-07-11 21:00:00+05:30,578.5340314136125,8.6,2.490837696335079,11.0,35.70680628272251,2.5107329842931936,21,11,7,6,0,0,0
2021-07-11 22:00:00+05:30,578.0104712041884,8.6,2.512565445026178,11.0,35.602094240837694,2.5109947643979056,22,11,7,6,0,0,0
2021-07-11 23:00:00+05:30,577.4869109947643,8.6,2.5342931937172777,11.0,35.49738219895288,2.5112565445026176,23,11,7,6,0,0,0
2021-07-12 00:00:00+05:30,576.9633507853404,8.6,2.5560209424083773,11.0,35.39267015706806,2.5115183246073296,0,12,7,0,0,0,0
2021-07-12 01:00:00+05:30,576.4397905759163,8.6,2.577748691099477,11.0,35.287958115183244,2.511780104712042,1,12,7,0,0,0,0
2021-07-12 02:00:00+05:30,575.9162303664922,8.6,2.599476439790576,11.0,35.18324607329843,2.512041884816754,2,12,7,0,0,0,0
2021-07-12 03:00:00+05:30,575.3926701570681,8.6,2.621204188481676,11.0,35.07853403141361,2.512303664921466,3,12,7,0,0,0,0
